Titre,Auteur,Date,URL/ID,Texte,Type
Cluster algebras generated by projective cluster variables,"Karin Baur, Alireza Nasr-Isfahani",2020/11/07,http://arxiv.org/abs/2011.03720v2,"We introduce the notion of a lower bound cluster algebra generated byprojective cluster variables as a polynomial ring over the initial clustervariables and the so-called projective cluster variables. We show that under anacyclicity assumption, the cluster algebra and the lower bound cluster algebragenerated by projective cluster variables coincide. In this case we use ourresults to construct a basis for the cluster algebra. We also show that anycoefficient-free cluster algebra of types $A_n$ or $\widetilde{A}_n$ is equalto the corresponding lower bound cluster algebra generated by projectivecluster variables.",ArXiv
On Convex Clustering Solutions,"Canh Hao Nguyen, Hiroshi Mamitsuka",2021/05/18,http://arxiv.org/abs/2105.08348v1,"Convex clustering is an attractive clustering algorithm with favorableproperties such as efficiency and optimality owing to its convex formulation.It is thought to generalize both k-means clustering and agglomerativeclustering. However, it is not known whether convex clustering preservesdesirable properties of these algorithms. A common expectation is that convexclustering may learn difficult cluster types such as non-convex ones. Currentunderstanding of convex clustering is limited to only consistency results onwell-separated clusters. We show new understanding of its solutions. We provethat convex clustering can only learn convex clusters. We then show that theclusters have disjoint bounding balls with significant gaps. We furthercharacterize the solutions, regularization hyperparameters, inclusterable casesand consistency.",ArXiv
Towards combinatorial clustering: preliminary research survey,Mark Sh. Levin,2015/05/28,http://arxiv.org/abs/1505.07872v1,"The paper describes clustering problems from the combinatorial viewpoint. Abrief systemic survey is presented including the following: (i) basicclustering problems (e.g., classification, clustering, sorting, clustering withan order over cluster), (ii) basic approaches to assessment of objects andobject proximities (i.e., scales, comparison, aggregation issues), (iii) basicapproaches to evaluation of local quality characteristics for clusters andtotal quality characteristics for clustering solutions, (iv) clustering asmulticriteria optimization problem, (v) generalized modular clusteringframework, (vi) basic clustering models/methods (e.g., hierarchical clustering,k-means clustering, minimum spanning tree based clustering, clustering asassignment, detection of clisue/quasi-clique based clustering, correlationclustering, network communities based clustering), Special attention istargeted to formulation of clustering as multicriteria optimization models.Combinatorial optimization models are used as auxiliary problems (e.g.,assignment, partitioning, knapsack problem, multiple choice problem,morphological clique problem, searching for consensus/median for structures).Numerical examples illustrate problem formulations, solving methods, andapplications. The material can be used as follows: (a) a research survey, (b) afundamental for designing the structure/architecture of composite modularclustering software, (c) a bibliography reference collection, and (d) atutorial.",ArXiv
Cluster automorphism groups of cluster algebras with coefficients,"Wen Chang, Bin Zhu",2015/06/05,http://arxiv.org/abs/1506.01942v1,"We study the cluster automorphism group of a skew-symmetric cluster algebrawith geometric coefficients. For this, we introduce the notion of gluing freecluster algebra, and show that under a weak condition the cluster automorphismgroup of a gluing free cluster algebra is a subgroup of the clusterautomorphism group of its principal part cluster algebra (i.e. thecorresponding cluster algebra without coefficients). We show that severalclasses of cluster algebras with coefficients are gluing free, for example,cluster algebras with principal coefficients, cluster algebras with universalgeometric coefficients, and cluster algebras from surfaces (except a 4-gon)with coefficients from boundaries. Moreover, except four kinds of surfaces, thecluster automorphism group of a cluster algebra from a surface withcoefficients from boundaries is isomorphic to the cluster automorphism group ofits principal part cluster algebra; for a cluster algebra with principalcoefficients, its cluster automorphism group is isomorphic to the automorphismgroup of its initial quiver.",ArXiv
K-expectiles clustering,"Bingling Wang, Yinxing Li, Wolfgang Karl Härdle",2021/03/16,http://arxiv.org/abs/2103.09329v1,"$K$-means clustering is one of the most widely-used partitioning algorithm incluster analysis due to its simplicity and computational efficiency. However,$K$-means does not provide an appropriate clustering result when applying todata with non-spherically shaped clusters. We propose a novel partitioningclustering algorithm based on expectiles. The cluster centers are defined asmultivariate expectiles and clusters are searched via a greedy algorithm byminimizing the within cluster '$\tau$ -variance'. We suggest two schemes: fixed$\tau$ clustering, and adaptive $\tau$ clustering. Validated by simulationresults, this method beats both $K$-means and spectral clustering on data withasymmetric shaped clusters, or clusters with a complicated structure, includingasymmetric normal, beta, skewed $t$ and $F$ distributed clusters. Applicationsof adaptive $\tau$ clustering on crypto-currency (CC) market data are provided.One finds that the expectiles clusters of CC markets show the phenomena of aninstitutional investors dominated market. The second application is on imagesegmentation. compared to other center based clustering methods, the adaptive$\tau$ cluster centers of pixel data can better capture and describe thefeatures of an image. The fixed $\tau$ clustering brings more flexibility onsegmentation with a decent accuracy.",ArXiv
Dynamic Grouping of Web Users Based on Their Web Access Patterns using  ART1 Neural Network Clustering Algorithm,"C. Ramya, G. Kavitha, K. S. Shreedhara",2012/05/09,http://arxiv.org/abs/1205.1938v1,"In this paper, we propose ART1 neural network clustering algorithm to groupusers according to their Web access patterns. We compare the quality ofclustering of our ART1 based clustering technique with that of the K-Means andSOM clustering algorithms in terms of inter-cluster and intra-clusterdistances. The results show the average inter-cluster distance of ART1 is highcompared to K-Means and SOM when there are fewer clusters. As the number ofclusters increases, average inter-cluster distance of ART1 is low compared toK-Means and SOM which indicates the high quality of clusters formed by ourapproach.",ArXiv
"To Cluster, or Not to Cluster: An Analysis of Clusterability Methods","A. Adolfsson, M. Ackerman, N. C. Brownstein",2018/08/24,http://arxiv.org/abs/1808.08317v1,"Clustering is an essential data mining tool that aims to discover inherentcluster structure in data. For most applications, applying clustering is onlyappropriate when cluster structure is present. As such, the study ofclusterability, which evaluates whether data possesses such structure, is anintegral part of cluster analysis. However, methods for evaluatingclusterability vary radically, making it challenging to select a suitablemeasure. In this paper, we perform an extensive comparison of measures ofclusterability and provide guidelines that clustering users can reference toselect suitable measures for their applications.",ArXiv
Observed Scaling Relations for Strong Lensing Clusters: Consequences for  Cosmology and Cluster Assembly,"Julia M. Comerford, Leonidas A. Moustakas, Priyamvada Natarajan",2010/04/05,http://arxiv.org/abs/1004.0694v1,"Scaling relations of observed galaxy cluster properties are useful tools forconstraining cosmological parameters as well as cluster formation histories.One of the key cosmological parameters, sigma8, is constrained using observedclusters of galaxies, although current estimates of sigma8 from the scalingrelations of dynamically relaxed galaxy clusters are limited by the largescatter in the observed cluster mass-temperature (M-T) relation. With a sampleof eight strong lensing clusters at 0.3 < z <0.8, we find that the observedcluster concentration-mass relation can be used to reduce the M-T scatter by afactor of 6. Typically only relaxed clusters are used to estimate sigma8, butcombining the cluster concentration-mass relation with the M-T relation enablesthe inclusion of unrelaxed clusters as well. Thus, the resultant gains in theaccuracy of sigma8 measurements from clusters are twofold: the errors on sigma8are reduced and the cluster sample size is increased. Therefore, the statisticson sigma8 determination from clusters are greatly improved by the inclusion ofunrelaxed clusters. Exploring cluster scaling relations further, we find thatthe correlation between brightest cluster galaxy (BCG) luminosity and clustermass offers insight into the assembly histories of clusters. We findpreliminary evidence for a steeper BCG luminosity - cluster mass relation forstrong lensing clusters than the general cluster population, hinting thatstrong lensing clusters may have had more active merging histories.",ArXiv
Tilting theory and cluster algebras,Idun Reiten,2010/12/29,http://arxiv.org/abs/1012.6014v1,"We give an introduction to the theory of cluster categories and clustertilted algebras. We include some background on the theory of cluster algebras,and discuss the interplay with cluster categories and cluster tilted algebras.",ArXiv
Deep Clustering With Consensus Representations,"Lukas Miklautz, Martin Teuffenbach, Pascal Weber, Rona Perjuci, Walid Durani, Christian Böhm, Claudia Plant",2022/10/13,http://arxiv.org/abs/2210.07063v1,"The field of deep clustering combines deep learning and clustering to learnrepresentations that improve both the learned representation and theperformance of the considered clustering method. Most existing deep clusteringmethods are designed for a single clustering method, e.g., k-means, spectralclustering, or Gaussian mixture models, but it is well known that no clusteringalgorithm works best in all circumstances. Consensus clustering tries toalleviate the individual weaknesses of clustering algorithms by building aconsensus between members of a clustering ensemble. Currently, there is no deepclustering method that can include multiple heterogeneous clustering algorithmsin an ensemble to update representations and clusterings together. To closethis gap, we introduce the idea of a consensus representation that maximizesthe agreement between ensemble members. Further, we propose DECCS (DeepEmbedded Clustering with Consensus representationS), a deep consensusclustering method that learns a consensus representation by enhancing theembedded space to such a degree that all ensemble members agree on a commonclustering result. Our contributions are the following: (1) We introduce theidea of learning consensus representations for heterogeneous clusterings, anovel notion to approach consensus clustering. (2) We propose DECCS, the firstdeep clustering method that jointly improves the representation and clusteringresults of multiple heterogeneous clustering algorithms. (3) We show inexperiments that learning a consensus representation with DECCS isoutperforming several relevant baselines from deep clustering and consensusclustering. Our code can be found at https://gitlab.cs.univie.ac.at/lukas/deccs",ArXiv
