Titre,Auteur,Date,URL/ID,Texte,Type
What Risk Factors to Cause Long COVID and Its Impact on Patient Survival  Outcomes when Combined with the Effect from Organ Transplantation in the  Acute COVID,Jianghu Dong,2023/05/13,http://arxiv.org/abs/2305.07817v1,"Coronavirus disease 2019 in solid organ transplant (SOT) patients isassociated with more severe outcomes than non-immunosuppressed hosts. However,exactly which risk factors cause Long COVID in acute COVID cases remainsunknown. More importantly, the impact of Long COVID on patient survival remainsunderstudied, especially when examined alongside the effect of SOT. Allpatients have been identified with acute COVID in the National COVIDCollaborative Cohort registry. We compared patient demographics in Long COVIDvs. those without Long COVID based on descriptive statistics. Multivariablelogistics regressions were used to determine the factors related to thelikelihood of developing Long COVID from a case of acute COVID. Multi-variablesCox regression was used to determine the time-to-event outcome of patientsurvival with Long COVID. This study reviewed data from a cohort of 6,416,500acute COVID patients. Of that group, 31,744 patients developed Long COVID fromICD diagnosis. The mean (q1, q3) age was 39 (22, 57) years old, and 55% ofpatients were female. From this cohort, a total of 31,744 (1%) developed LongCOVID and 43,565 (1%) had SOT, with a total of 698 SOT patients identified withLong COVID. Mean age of those with Long COVID was 52 (39, 64) years old and 64%of patients were female. Most of the SOT patients were kidney transplantrecipients. From the Cox regression analysis of patient survival, there weremany significant factors related to patient survival, with elderly SOT patientshaving a much higher hazard ratio of 27.8 (26.3, 29.4). This study hasidentified the important risk factors that are more likely to cause Long COVIDin an acute COVID cohort. We investigated hazard ratios of patient survivalbased on multivariable Cox models, which found that Long COVID had a moredirect impact on survival in elderly patients and those with SOT.",ArXiv
COVID-Net MLSys: Designing COVID-Net for the Clinical Workflow,"Audrey G. Chung, Maya Pavlova, Hayden Gunraj, Naomi Terhljan, Alexander MacLean, Hossein Aboutalebi, Siddharth Surana, Andy Zhao, Saad Abbasi, Alexander Wong",2021/09/14,http://arxiv.org/abs/2109.06421v1,"As the COVID-19 pandemic continues to devastate globally, one promising fieldof research is machine learning-driven computer vision to streamline variousparts of the COVID-19 clinical workflow. These machine learning methods aretypically stand-alone models designed without consideration for the integrationnecessary for real-world application workflows. In this study, we take amachine learning and systems (MLSys) perspective to design a system forCOVID-19 patient screening with the clinical workflow in mind. The COVID-Netsystem is comprised of the continuously evolving COVIDx dataset, COVID-Net deepneural network for COVID-19 patient detection, and COVID-Net S deep neuralnetworks for disease severity scoring for COVID-19 positive patient cases. Thedeep neural networks within the COVID-Net system possess state-of-the-artperformance, and are designed to be integrated within a user interface (UI) forclinical decision support with automatic report generation to assist cliniciansin their treatment decisions.",ArXiv
COVID-19-CT-CXR: a freely accessible and weakly labeled chest X-ray and  CT image collection on COVID-19 from biomedical literature,"Yifan Peng, Yu-Xing Tang, Sungwon Lee, Yingying Zhu, Ronald M. Summers, Zhiyong Lu",2020/06/11,http://arxiv.org/abs/2006.06177v2,"The latest threat to global health is the COVID-19 outbreak. Although thereexist large datasets of chest X-rays (CXR) and computed tomography (CT) scans,few COVID-19 image collections are currently available due to patient privacy.At the same time, there is a rapid growth of COVID-19-relevant articles in thebiomedical literature. Here, we present COVID-19-CT-CXR, a public database ofCOVID-19 CXR and CT images, which are automatically extracted fromCOVID-19-relevant articles from the PubMed Central Open Access (PMC-OA) Subset.We extracted figures, associated captions, and relevant figure descriptions inthe article and separated compound figures into subfigures. We also designed adeep-learning model to distinguish them from other figure types and to classifythem accordingly. The final database includes 1,327 CT and 263 CXR images (asof May 9, 2020) with their relevant text. To demonstrate the utility ofCOVID-19-CT-CXR, we conducted four case studies. (1) We show thatCOVID-19-CT-CXR, when used as additional training data, is able to contributeto improved DL performance for the classification of COVID-19 and non-COVID-19CT. (2) We collected CT images of influenza and trained a DL baseline todistinguish a diagnosis of COVID-19, influenza, or normal or other types ofdiseases on CT. (3) We trained an unsupervised one-class classifier fromnon-COVID-19 CXR and performed anomaly detection to detect COVID-19 CXR. (4)From text-mined captions and figure descriptions, we compared clinical symptomsand clinical findings of COVID-19 vs. those of influenza to demonstrate thedisease differences in the scientific publications. We believe that our work iscomplementary to existing resources and hope that it will contribute to medicalimage analysis of the COVID-19 pandemic. The dataset, code, and DL models arepublicly available at https://github.com/ncbi-nlp/COVID-19-CT-CXR.",ArXiv
COVID-Net UV: An End-to-End Spatio-Temporal Deep Neural Network  Architecture for Automated Diagnosis of COVID-19 Infection from Ultrasound  Videos,"Hilda Azimi, Ashkan Ebadi, Jessy Song, Pengcheng Xi, Alexander Wong",2022/05/18,http://arxiv.org/abs/2205.08932v1,"Besides vaccination, as an effective way to mitigate the further spread ofCOVID-19, fast and accurate screening of individuals to test for the disease isyet necessary to ensure public health safety. We propose COVID-Net UV, anend-to-end hybrid spatio-temporal deep neural network architecture, to detectCOVID-19 infection from lung point-of-care ultrasound videos captured by convextransducers. COVID-Net UV comprises a convolutional neural network thatextracts spatial features and a recurrent neural network that learns temporaldependence. After careful hyperparameter tuning, the network achieves anaverage accuracy of 94.44% with no false-negative cases for COVID-19 cases. Thegoal with COVID-Net UV is to assist front-line clinicians in the fight againstCOVID-19 via accelerating the screening of lung point-of-care ultrasound videosand automatic detection of COVID-19 positive cases.",ArXiv
Ensemble CNN models for Covid-19 Recognition and Severity Perdition From  3D CT-scan,"Fares Bougourzi, Cosimo Distante, Fadi Dornaika, Abdelmalik Taleb-Ahmed",2022/06/29,http://arxiv.org/abs/2206.15431v1,"Since the appearance of Covid-19 in late 2019, Covid-19 has become an activeresearch topic for the artificial intelligence (AI) community. One of the mostinteresting AI topics is Covid-19 analysis of medical imaging. CT-scan imagingis the most informative tool about this disease. This work is part of the 2ndCOV19D competition, where two challenges are set: Covid-19 Detection andCovid-19 Severity Detection from the CT-scans. For Covid-19 detection fromCT-scans, we proposed an ensemble of 2D Convolution blocks with Densenet-161models. Here, each 2D convolutional block with Densenet-161 architecture istrained separately and in testing phase, the ensemble model is based on theaverage of their probabilities. On the other hand, we proposed an ensemble ofConvolutional Layers with Inception models for Covid-19 severity detection. Inaddition to the Convolutional Layers, three Inception variants were used,namely Inception-v3, Inception-v4 and Inception-Resnet. Our proposed approachesoutperformed the baseline approach in the validation data of the 2nd COV19Dcompetition by 11% and 16% for Covid-19 detection and Covid-19 severitydetection, respectively.",ArXiv
Comprehensively identifying Long Covid articles with human-in-the-loop  machine learning,"Robert Leaman, Rezarta Islamaj, Alexis Allot, Qingyu Chen, W. John Wilbur, Zhiyong Lu",2022/09/16,http://arxiv.org/abs/2209.08124v2,"A significant percentage of COVID-19 survivors experience ongoingmultisystemic symptoms that often affect daily living, a condition known asLong Covid or post-acute-sequelae of SARS-CoV-2 infection. However, identifyingscientific articles relevant to Long Covid is challenging since there is nostandardized or consensus terminology. We developed an iterativehuman-in-the-loop machine learning framework combining data programming withactive learning into a robust ensemble model, demonstrating higher specificityand considerably higher sensitivity than other methods. Analysis of the LongCovid collection shows that (1) most Long Covid articles do not refer to LongCovid by any name (2) when the condition is named, the name used mostfrequently in the literature is Long Covid, and (3) Long Covid is associatedwith disorders in a wide variety of body systems. The Long Covid collection isupdated weekly and is searchable online at the LitCovid portal:https://www.ncbi.nlm.nih.gov/research/coronavirus/docsum?filters=e_condition.LongCovid",ArXiv
Machine Learning-driven Analysis of Gastrointestinal Symptoms in  Post-COVID-19 Patients,"Maitham G. Yousif, Fadhil G. Al-Amran, Salman Rawaf, Mohammad Abdulla Grmt",2023/09/27,http://arxiv.org/abs/2310.00540v1,"The COVID-19 pandemic, caused by the novel coronavirus SARS-CoV-2, has posedsignificant health challenges worldwide. While respiratory symptoms have beenthe primary focus, emerging evidence has highlighted the impact of COVID-19 onvarious organ systems, including the gastrointestinal (GI) tract. This study,based on data from 913 post-COVID-19 patients in Iraq collected during 2022 and2023, investigates the prevalence and patterns of GI symptoms in individualsrecovering from COVID-19 and leverages machine learning algorithms to identifypredictive factors for these symptoms. The research findings reveal that anotable percentage of post-COVID-19 patients experience GI symptoms duringtheir recovery phase. Diarrhea emerged as the most frequently reported symptom,followed by abdominal pain and nausea. Machine learning analysis uncoveredsignificant predictive factors for GI symptoms, including age, gender, diseaseseverity, comorbidities, and the duration of COVID-19 illness. These findingsunderscore the importance of monitoring and addressing GI symptoms inpost-COVID-19 care, with machine learning offering valuable tools for earlyidentification and personalized intervention. This study contributes to theunderstanding of the long-term consequences of COVID-19 on GI health andemphasizes the potential benefits of utilizing machine learning-driven analysisin predicting and managing these symptoms. Further research is warranted todelve into the mechanisms underlying GI symptoms in COVID-19 survivors and todevelop targeted interventions for symptom management. Keywords: COVID-19,gastrointestinal symptoms, machine learning, predictive factors, post-COVID-19care, long COVID.",ArXiv
COVID-Rate: An Automated Framework for Segmentation of COVID-19 Lesions  from Chest CT Scans,"Nastaran Enshaei, Anastasia Oikonomou, Moezedin Javad Rafiee, Parnian Afshar, Shahin Heidarian, Arash Mohammadi, Konstantinos N. Plataniotis, Farnoosh Naderkhani",2021/07/04,http://arxiv.org/abs/2107.01527v1,"Novel Coronavirus disease (COVID-19) is a highly contagious respiratoryinfection that has had devastating effects on the world. Recently, new COVID-19variants are emerging making the situation more challenging and threatening.Evaluation and quantification of COVID-19 lung abnormalities based on chestComputed Tomography (CT) scans can help determining the disease stage,efficiently allocating limited healthcare resources, and making informedtreatment decisions. During pandemic era, however, visual assessment andquantification of COVID-19 lung lesions by expert radiologists become expensiveand prone to error, which raises an urgent quest to develop practicalautonomous solutions. In this context, first, the paper introduces an openaccess COVID-19 CT segmentation dataset containing 433 CT images from 82patients that have been annotated by an expert radiologist. Second, a DeepNeural Network (DNN)-based framework is proposed, referred to as theCOVID-Rate, that autonomously segments lung abnormalities associated withCOVID-19 from chest CT scans. Performance of the proposed COVID-Rate frameworkis evaluated through several experiments based on the introduced and externaldatasets. The results show a dice score of 0:802 and specificity andsensitivity of 0:997 and 0:832, respectively. Furthermore, the results indicatethat the COVID-Rate model can efficiently segment COVID-19 lesions in both 2DCT images and whole lung volumes. Results on the external dataset illustrategeneralization capabilities of the COVID-Rate model to CT images obtained froma different scanner.",ArXiv
COFFEE: COVID-19 Forecasts using Fast Evaluations and Estimation,"Lauren Castro, Geoffrey Fairchild, Isaac Michaud, Dave Osthus",2021/10/04,http://arxiv.org/abs/2110.01546v1,"This document details the methodology of the Los Alamos National LaboratoryCOVID-19 forecasting model, COFFEE (COVID-19 Forecasts using Fast Evaluationsand Estimation).",ArXiv
An Exploratory Characterization of Bugs in COVID-19 Software Projects,"Akond Rahman, Effat Farhana",2020/05/31,http://arxiv.org/abs/2006.00586v1,"Context: The dire consequences of the COVID-19 pandemic has influenceddevelopment of COVID-19 software i.e., software used for analysis andmitigation of COVID-19. Bugs in COVID-19 software can be consequential, asCOVID-19 software projects can impact public health policy and user dataprivacy. Objective: The goal of this paper is to help practitioners andresearchers improve the quality of COVID-19 software through an empirical studyof open source software projects related to COVID-19. Methodology: We use 129open source COVID-19 software projects hosted on GitHub to conduct ourempirical study. Next, we apply qualitative analysis on 550 bug reports fromthe collected projects to identify bug categories. Findings: We identify 8 bugcategories, which include data bugs i.e., bugs that occur during mining andstorage of COVID-19 data. The identified bug categories appear for 7 categoriesof software projects including (i) projects that use statistical modeling toperform predictions related to COVID-19, and (ii) medical equipment softwarethat are used to design and implement medical equipment, such as ventilators.Conclusion: Based on our findings, we advocate for robust statistical modelconstruction through better synergies between data science practitioners andpublic health experts. Existence of security bugs in user tracking softwarenecessitates development of tools that will detect data privacy violations andsecurity weaknesses.",ArXiv
